st_gender,st_spg,st_mmog,st_age,st_immig,st_belong,st_repeat,pa_books,pa_educ,pa_escs,W_FSTUWT,math_score,scie_score,read_score,good_math,good_scie,good_read,bad_math,bad_scie,bad_read
Female,Once or twice a week,Never or hardly ever,16.25,Native,.2493,0,201-500 books,15,.114,100.1722,608.28552,669.66119,618.55402,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,.2947,0,26-100 books,18,1.3707,100.1722,517.87061,504.2355,569.87927,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Second-Generation,2.5915,0,101-200 books,18,1.5486,100.1722,481.4444,480.9118,551.1142,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,15.67,Native,.02,0,More than 500 books,18,1.6287,100.1722,653.45178,676.14288,679.07233,1,1,1,0,0,0
Female,Once or twice a week,Never or hardly ever,15.67,Native,.2947,0,201-500 books,18,1.5298,100.1722,685.41949,716.9118,676.44647,1,1,1,0,0,0
Female,Once or twice a week,Never or hardly ever,15.67,Native,-.4475,0,More than 500 books,18,1.2375,100.1722,634.27679,667.40118,604.70508,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,.8589,0,201-500 books,18,1.7031,100.1722,604.18762,606.50787,586.21802,1,1,0,0,0,0
Male,Once or twice a week,Almost every day,16.17,Native,-.5242,0,101-200 books,18,1.3806,111.4092,666.97308,659.23608,628.2049,1,1,1,0,0,0
Male,Once or twice a month,Every day,15.92,Native,2.5915,0,More than 500 books,18,1.61,111.4092,605.31201,629.40948,604.51379,1,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,16.08,Native,1.5043,0,More than 500 books,18,1.3808,111.4092,631.95972,607.87781,586.89532,1,1,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,16,Native,.3812,0,More than 500 books,18,1.4211,111.4092,716.01361,696.86377,667.79907,1,1,1,0,0,0
Male,Almost every day,Every day,16,Native,2.5915,0,More than 500 books,18,1.904,111.4092,632.55048,614.76147,571.77411,1,1,0,0,0,0
Male,Every day,Every day,15.92,Native,.6642,0,26-100 books,15,.1138,111.4092,580.05591,605.08679,604.15021,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,.2015,0,More than 500 books,18,1.0727,104.7439,581.02667,537.69098,563.05951,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Native,-.3381,0,26-100 books,10,-1.1761,71.78163000000001,417.31689,429.0907,407.91669,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,15.83,Native,-.0621,0,26-100 books,13,-.7538,71.78163000000001,437.5817,460.0567,433.724,0,0,0,1,0,1
Female,Almost every day,Never or hardly ever,15.42,Native,-.4725,0,26-100 books,13,-1.0703,71.78163000000001,506.92279,517.58783,547.69812,0,0,0,0,0,0
Female,Every day,Almost every day,15.75,Native,.9357,1,11-25 books,13,-.9742,71.78163000000001,478.1799,468.43649,462.16519,0,0,0,0,0,0
Male,Almost every day,Every day,15.67,Native,-1.0562,0,26-100 books,3,-1.5686,69.89073999999999,546.62543,593.22858,569.28369,0,0,0,0,0,0
Male,Every day,Every day,15.42,Native,.4904,0,0-10 books,13,-.8573,69.89073999999999,374.20349,345.9375,332.19989,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,15.58,Second-Generation,-.0621,0,101-200 books,10,-.9216,71.78163000000001,407.13721,440.1843,471.1431,0,0,0,1,1,0
Female,Never or hardly ever,Never or hardly ever,15.58,Second-Generation,.4597,0,11-25 books,3,-2.4665,71.78163000000001,493.28281,514.37939,512.57141,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,-.4092,0,26-100 books,13,.1647,71.78163000000001,536.61249,550.54163,572.85132,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,First-Generation,.1643,0,11-25 books,18,.6186,71.78163000000001,371.99091,336.45459,424.98041,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,15.83,First-Generation,-.7194,0,26-100 books,18,.9602000000000001,71.78163000000001,471.17499,448.2247,439.07849,0,0,0,0,1,1
Female,Never or hardly ever,Never or hardly ever,16.17,Second-Generation,-.3776,0,0-10 books,10,-1.2599,71.78163000000001,389.8674,365.12839,362.5311,0,0,0,1,1,1
Male,Once or twice a week,Every day,15.67,Native,-.5626,0,201-500 books,13,-.0722,69.89073999999999,569.92352,546.89337,560.11823,0,0,0,0,0,0
Male,Never or hardly ever,Almost every day,15.83,Native,-1.3014,0,101-200 books,15,-.2435,69.89073999999999,505.59131,511.51071,506.07932,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Native,.1434,0,11-25 books,18,.6439,71.78163000000001,484.20111,528.73352,548.5517,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.5,First-Generation,-1.5827,0,26-100 books,10,-1.0598,71.78163000000001,394.47241,373.75409,427.13159,0,0,0,1,1,1
Female,Once or twice a month,Never or hardly ever,15.5,Second-Generation,.0248,0,11-25 books,13,-.4414,71.78163000000001,442.07309,459.25171,463.8446,0,0,0,1,0,0
Male,Never or hardly ever,Never or hardly ever,16.08,Native,-.0621,0,101-200 books,10,-.9467,69.89073999999999,582.56543,608.54468,551.41962,0,1,0,0,0,0
Male,Once or twice a week,Almost every day,16.25,Native,-.9626,0,11-25 books,10,-1.3326,69.89073999999999,544.82813,593.61432,503.1673,0,0,0,0,0,0
Male,Once or twice a month,Almost every day,15.42,Second-Generation,1.0269,0,26-100 books,10,-.663,69.89073999999999,543.51703,557.21362,562.35687,0,0,0,0,0,0
Male,Once or twice a month,Once or twice a week,15.5,Native,-.0621,0,0-10 books,10,-1.1507,69.89073999999999,498.95419,504.6731,504.7951,0,0,0,0,0,0
Male,Never or hardly ever,Once or twice a week,16.33,Second-Generation,.6642,1,201-500 books,18,.164,69.89073999999999,445.53851,425.00909,472.33789,0,0,0,1,1,0
Male,Almost every day,Almost every day,15.67,Native,-.3381,0,101-200 books,13,.5348000000000001,157.8039,560.54279,579.17468,612.65118,0,0,1,0,0,0
Female,Once or twice a month,Once or twice a month,15.42,Second-Generation,.6642,0,101-200 books,13,-.0055,139.0758,339.8924,314.1012,339.30011,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,16.33,Second-Generation,1.5043,0,11-25 books,13,-.4695,139.0758,544.39783,571.19568,597.05627,0,0,0,0,0,0
Female,Once or twice a month,Once or twice a month,15.92,Second-Generation,.412,0,101-200 books,13,-.2011,139.0758,504.00269,496.8934,523.53119,0,0,0,0,0,0
Male,Once or twice a month,Once or twice a month,16.17,Second-Generation,-.4538,0,26-100 books,10,-.8438,156.5644,480.8223,442.4939,434.88559,0,0,0,0,1,1
Male,Once or twice a month,Never or hardly ever,16.08,Second-Generation,2.5915,0,11-25 books,15,-.7272999999999999,156.5644,426.36081,417.45959,383.12961,0,0,0,1,1,1
Female,Once or twice a month,Once or twice a week,15.5,Native,.9646,0,26-100 books,10,-1.0737,109.6559,498.42609,526.82617,574.21021,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.67,Native,-.928,0,26-100 books,13,.1169,109.6559,539.42047,557.41827,529.3349,0,0,0,0,0,0
Female,Once or twice a week,Once or twice a week,15.42,Native,2.5915,0,101-200 books,13,-.5057,109.6559,464.07611,416.97961,423.00241,0,0,0,0,1,1
Male,Once or twice a week,Almost every day,15.58,Native,1.1245,0,26-100 books,15,.5693,109.6747,620.25488,614.29303,590.2016,1,1,0,0,0,0
Male,Almost every day,Almost every day,15.67,Native,.045,0,11-25 books,13,-.2454,109.6747,530.59631,550.58929,521.06921,0,0,0,0,0,0
Male,Once or twice a week,Never or hardly ever,15.75,Native,.2947,0,201-500 books,13,.3688,109.6747,530.5896,512.86292,539.72742,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,16,Native,.6642,0,101-200 books,15,.4688,110.4779,641.32703,640.18872,605.81012,1,1,1,0,0,0
